# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 1.219115744565038,1.8152650939267239,2.9846409455016216,-49.75507436083589,1.258811334389488,-3.000000000000027,1.838709695671866,-50.84554278320513,132.0308631793987,-61.04600737022908
 1.2273275239315686,1.8220247347418304,2.9769544938690204,-48.67086604283407,1.234175996289896,-3.000000000000027,1.9314458277566031,-51.346839126937056,135.93158562077934,-60.28236334501174
 1.2356165403115476,1.828860713688375,2.9694827872994463,-47.54412690306692,1.2093089471499592,-3.0,2.0277826869163853,-51.8465206241277,139.7851371924382,-59.47567158853512
 1.2439895057921837,1.8357742663094925,2.9622295088109327,-46.37371077464865,1.1841900507080507,-3.0,2.1275748025626404,-52.344508369276156,143.5590582013401,-58.62272310377162
 1.2524540623463052,1.8427666281483168,2.955198341421513,-45.158547007646995,1.1587963810456865,-2.999999999999974,2.23060898777109,-52.840723724344635,147.21606243536914,-57.72013228587976
 1.261018918095129,1.8498390347479823,2.9483929681492205,-43.89766266897821,1.1331018137992153,-2.9999999999999742,2.33659468910051,-53.33508833117622,150.75318906215708,-56.779194642387566
 1.2696917391133553,1.856992721651623,2.9418170720120895,-42.590207242315294,1.1076625898002188,-2.933212151563468,2.4451543467811327,-53.827524123868685,154.23799099592378,-55.83618646011201
 1.2784750971527425,1.8642289244023729,2.935474336028152,-41.235479744122316,1.083417854865402,-2.760303613503627,2.5558141935823038,-54.317953341101834,157.71446933111156,-54.91473274219656
 1.28736788735547,1.8715488785433667,2.9293684432154428,-39.83295805642626,1.0603958938350144,-2.5888343821860267,2.6679960362164143,-54.80629853841703,161.16613646699096,-54.01550998683585
 1.29636871067729,1.8789538196177378,2.9235030765919947,-38.38233013662651,1.0386262604743635,-2.4186268947059664,2.7810106796543645,-55.292482600446554,164.5745888366788,-53.139212120601954
 1.3054758489529967,1.8864449831686207,2.9178819191758407,-36.88352659942331,1.0181396020458966,-2.2495165669236825,2.894053758648412,-55.77642875309098,167.91952735440702,-52.28653975091984
 1.314687241117139,1.8940236047391503,2.912508653985015,-35.33675398094444,0.9989674647113329,-2.0813506789121443,3.0062048201209657,-56.25806057564272,171.17883518061518,-51.45818815143779
 1.3240004613144891,1.9016909198724596,2.907386964037551,-33.74252779578148,0.9811420789019987,-1.913987367592386,3.1164305334867204,-56.73730201285373,174.32872284319635,-50.65483401259431
 1.3334126997194813,1.9094481641116834,2.902520532351481,-32.10170429554351,0.9646961244854665,-1.7472947144867679,3.2235928741742517,-57.214077386945576,177.34394956274426,-49.87712105473703
 1.3429207469480628,1.9172965729999558,2.8979130419448396,-30.41550964739775,0.9496624763777292,-1.5811499192542497,3.32646300802802,-57.688311409559695,180.19812744060766,-49.12564467506659
 1.3525209829796947,1.9252373820804112,2.89356817583566,-28.685565091509844,0.9360739321761335,-1.4154385534712555,3.423741384436341,-58.15992919364641,182.864111836296,-48.40093588310506
 1.3622093715012844,1.9332718268961833,2.889489617041975,-26.913906529384377,0.9239629245231272,-1.2500538790344777,3.5140842145254974,-58.62885626529049,185.31447675876566,-47.70344486445616
 1.3719814605297678,1.9414011429904068,2.8856810485818185,-25.102996964230908,0.9133612219571106,-1.0848962320252273,3.596136073590116,-59.0950185754713,187.52206856524566,-47.03352459398093
 1.3818323900589606,1.9496265659062153,2.8821461534732244,-23.2557302816262,0.9042996231694721,-0.9198724608459279,3.668567843617748,-59.558342511756166,189.46062499098588,-46.39141499108265
 1.3917569073054568,1.9579493311867435,2.8788886147342256,-21.375425041371226,0.896807650577256,-0.754895417695121,3.730118644182824,-60.018754909924525,191.10543993310458,-45.777228163157574
 1.4017493898989104,1.966370674375125,2.8759121153828553,-19.465807259325377,0.890913250021785,-0.5898834949517506,3.7796398455985725,-60.47618306552143,192.43404818019417,-45.1909353104134
 1.4118038770808192,1.9748918310144945,2.8732203384371475,-17.53098158853479,0.8866425039902316,-0.4247602045023073,3.816138789876752,-60.930554745338455,193.4268991050345,-44.63235585832714
 1.421914108656181,1.9835140366479862,2.870816966915135,-15.575390845678742,0.8840193659958633,-0.25945379933341706,3.8388195380269385,-61.3817981988201,194.06798502375892,-44.10114934170436
 1.432073571102441,1.992238526818734,2.8687056838348517,-13.603764439808518,0.8830654236982713,-0.09389692640117123,3.8471178819520304,-61.82984216939405,194.34538906891817,-43.59681048248039
 1.4422755499033488,2.001066537069872,2.8668901722143314,-11.62105690047324,0.8837996977128748,0.07197368558912587,3.8407280512245205,-62.27461590572351,194.25171956734027,-43.11866778312691
 1.4525131868678363,2.009999302944534,2.8653741150716057,-9.63237831581539,0.8862384820527983,0.23821750550280515,3.8196190161600008,-62.7160491728795,193.7844030975914,-42.665885813420914
 1.4627795409397495,2.019038059985855,2.8641611954247104,-7.642919020001158,0.8903952309167328,0.40489046401648393,3.7840390048228967,-63.1540722634319,192.94581630437025,-42.237471198144384
 1.4730676508265022,2.028184043736969,2.8632550962916774,-5.657871259672604,0.8962804945742341,0.5720451785880886,3.734507744943844,-63.58861600845696,191.74324670106802,-41.83228214189574
 1.4833705976879976,2.0374384897410103,2.8626595006905404,-3.682350777860884,0.9039019055591079,0.7397311747143716,3.671796899823424,-64.01961178846,190.18868373008885,-41.44904116326871
 1.4936815661388139,2.0468026335411125,2.8623780916393335,-1.7213212602176684,0.913264214172988,0.9079950790790121,3.5969000840796217,-64.44699154421104,188.29845254724518,-41.08635056425233
 1.503993901925822,2.0562777106804098,2.8624145521560895,0.22047561062353022,0.9243693706094346,1.0768808023529801,3.510994601623884,-64.87068778749234,186.09271280067196,-40.742710052127485
 1.514301164838029,2.065864956702037,2.8627725652588416,2.138582127505878,0.9372166493248119,1.2464297093035395,3.415397565778739,-65.29063361175544,183.594852325968,-40.416535859347285
 1.524597175668329,2.0755656071491275,2.8634558139656234,4.0288767154413865,0.951802809957948,1.4166807779776787,3.3115192922284566,-65.70676270268649,180.83081045319304,-40.10618067926953
 1.534876056354785,2.0853808975648165,2.864467981294469,5.887615040524897,0.9681222881548858,1.5876707488628816,3.200816797840609,-66.11900934867815,177.82836722800022,-39.80995375057407
